"state","year","freq","state_code","mean_dur"
"indiana",1983,3,"IN",1200
"indiana",1985,1,"IN",300
"indiana",1987,2,"IN",510
"indiana",1988,2,"IN",675
"indiana",1989,1,"IN",600
"indiana",1990,2,"IN",450
"indiana",1991,4,"IN",262.5
"indiana",1993,2,"IN",300
"indiana",1994,4,"IN",324150
"indiana",1995,3,"IN",210
"indiana",1996,3,"IN",1152100
"indiana",1997,6,"IN",288250
"indiana",1998,5,"IN",315
"indiana",1999,3,"IN",1296900
"indiana",2000,2,"IN",330
"indiana",2002,4,"IN",432945
"indiana",2003,3,"IN",250
"indiana",2004,8,"IN",505050
"indiana",2005,3,"IN",446800
"indiana",2006,44,"IN",385293
"indiana",2007,71,"IN",393140
"indiana",2008,119,"IN",221343.953703704
"indiana",2009,68,"IN",245680.19047619
"indiana",2010,94,"IN",341021.331325301
"indiana",2011,82,"IN",385771.297297297
"indiana",2012,131,"IN",292381.363636364
"indiana",2013,135,"IN",509660.975609756
"indiana",2014,132,"IN",289521
"indiana",2015,75,"IN",283741.343283582
"indiana",2016,74,"IN",475127.903225806
"indiana",2017,50,"IN",418364.042553191
"indiana",2018,73,"IN",346004.482758621
"indiana",2019,154,"IN",629006.928571429
"indiana",2020,142,"IN",371873.4375
"indiana",2021,3,"IN",60
"indiana",NA,17,"IN",5256886.66666667
"iowa",1957,1,"IA",7776000
"iowa",1958,1,"IA",1512000
"iowa",1965,1,"IA",1728000
"iowa",1968,2,"IA",3888000
"iowa",1970,1,"IA",300
"iowa",1971,2,"IA",780
"iowa",1972,1,"IA",180
"iowa",1973,1,"IA",3600
"iowa",1975,1,"IA",600
"iowa",1976,2,"IA",758100
"iowa",1977,1,"IA",180
"iowa",1978,3,"IA",864240
"iowa",1981,2,"IA",10530
"iowa",1982,1,"IA",60
"iowa",1983,2,"IA",10800
"iowa",1986,2,"IA",120
"iowa",1989,1,"IA",900
"iowa",1992,2,"IA",450
"iowa",1993,1,"IA",777600
"iowa",1997,1,"IA",900
"iowa",1998,3,"IA",1728070
"iowa",1999,1,"IA",3600
"iowa",2002,2,"IA",1800
"iowa",2003,3,"IA",216170
"iowa",2005,6,"IA",1037760
"iowa",2006,23,"IA",371418.619047619
"iowa",2007,48,"IA",171783.719512195
"iowa",2008,31,"IA",566034.62962963
"iowa",2009,41,"IA",212102.111111111
"iowa",2010,46,"IA",481037.435897436
"iowa",2011,43,"IA",444103.026315789
"iowa",2012,93,"IA",435934.651898734
"iowa",2013,76,"IA",281891.571428571
"iowa",2014,68,"IA",527437.5
"iowa",2015,45,"IA",783635.25
"iowa",2016,40,"IA",668932.5
"iowa",2017,41,"IA",663961.538461538
"iowa",2018,32,"IA",374991.25
"iowa",2019,41,"IA",154668.75
"iowa",2020,67,"IA",152491.754385965
"iowa",2021,5,"IA",173352
"iowa",NA,7,"IA",136.25
"kansas",1954,1,"KS",180
"kansas",1956,1,"KS",300
"kansas",1958,1,"KS",NA
"kansas",1963,1,"KS",5184000
"kansas",1965,1,"KS",450
"kansas",1967,5,"KS",450
"kansas",1969,1,"KS",691200
"kansas",1971,1,"KS",1200
"kansas",1973,2,"KS",1728000
"kansas",1974,3,"KS",290500
"kansas",1975,1,"KS",172800
"kansas",1976,1,"KS",300
"kansas",1982,1,"KS",120
